LONG_SCHOOL_YEAR,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,LABEL_SORT_ORDER,COMPLETER_TYPE,LABEL_LVL_1_DESC,LABEL_LVL_5_CD,PROGRAM_TOTAL,PROGRAM_PERCENT
2016-17,721,Richmond County,391,Alternative Education Center at Lamar,4,Other Completers,Special Education Diplomas,Asian,,
2016-17,721,Richmond County,391,Alternative Education Center at Lamar,4,Other Completers,Special Education Diplomas,Multi,,
2016-17,721,Richmond County,391,Alternative Education Center at Lamar,4,Other Completers,Special Education Diplomas,Native American/ Alaskan Native,,
2016-17,721,Richmond County,391,Alternative Education Center at Lamar,5,Other Completers,Certificates Of Attendance,Male,,
2016-17,721,Richmond County,391,Alternative Education Center at Lamar,5,Other Completers,Certificates Of Attendance,Female,,
2016-17,721,Richmond County,391,Alternative Education Center at Lamar,5,Other Completers,Certificates Of Attendance,Total,,
2016-17,721,Richmond County,391,Alternative Education Center at Lamar,5,Other Completers,Certificates Of Attendance,Black,,
2016-17,721,Richmond County,391,Alternative Education Center at Lamar,5,Other Completers,Certificates Of Attendance,White,,
2016-17,721,Richmond County,391,Alternative Education Center at Lamar,5,Other Completers,Certificates Of Attendance,Hispanic,,
2016-17,721,Richmond County,391,Alternative Education Center at Lamar,5,Other Completers,Certificates Of Attendance,Asian,,
2016-17,721,Richmond County,391,Alternative Education Center at Lamar,5,Other Completers,Certificates Of Attendance,Multi,,
2016-17,721,Richmond County,391,Alternative Education Center at Lamar,5,Other Completers,Certificates Of Attendance,Native American/ Alaskan Native,,
2016-17,721,Richmond County,392,Performance Learning Center,0,Graduates,General Education Diplomas,Male,11,33.3
2016-17,721,Richmond County,392,Performance Learning Center,0,Graduates,General Education Diplomas,Female,22,66.7
2016-17,721,Richmond County,392,Performance Learning Center,0,Graduates,General Education Diplomas,Total,33,100
2016-17,721,Richmond County,392,Performance Learning Center,0,Graduates,General Education Diplomas,Black,22,66.7
2016-17,721,Richmond County,392,Performance Learning Center,0,Graduates,General Education Diplomas,White,7,21.2
2016-17,721,Richmond County,392,Performance Learning Center,0,Graduates,General Education Diplomas,Hispanic,0,0
2016-17,721,Richmond County,392,Performance Learning Center,0,Graduates,General Education Diplomas,Asian,1,3
2016-17,721,Richmond County,392,Performance Learning Center,0,Graduates,General Education Diplomas,Multi,3,9.1
2016-17,721,Richmond County,392,Performance Learning Center,0,Graduates,General Education Diplomas,Native American/ Alaskan Native,0,0
2016-17,721,Richmond County,392,Performance Learning Center,1,Graduates,Diplomas with Both College Prep. & Voc.,Male,,
2016-17,721,Richmond County,392,Performance Learning Center,1,Graduates,Diplomas with Both College Prep. & Voc.,Female,,
2016-17,721,Richmond County,392,Performance Learning Center,1,Graduates,Diplomas with Both College Prep. & Voc.,Total,,
2016-17,721,Richmond County,392,Performance Learning Center,1,Graduates,Diplomas with Both College Prep. & Voc.,Black,,
2016-17,721,Richmond County,392,Performance Learning Center,1,Graduates,Diplomas with Both College Prep. & Voc.,White,,
2016-17,721,Richmond County,392,Performance Learning Center,1,Graduates,Diplomas with Both College Prep. & Voc.,Hispanic,,
2016-17,721,Richmond County,392,Performance Learning Center,1,Graduates,Diplomas with Both College Prep. & Voc.,Asian,,
2016-17,721,Richmond County,392,Performance Learning Center,1,Graduates,Diplomas with Both College Prep. & Voc.,Multi,,
2016-17,721,Richmond County,392,Performance Learning Center,1,Graduates,Diplomas with Both College Prep. & Voc.,Native American/ Alaskan Native,,
2016-17,721,Richmond County,392,Performance Learning Center,2,Graduates,Diplomas with College Prep Endorsements,Male,,
2016-17,721,Richmond County,392,Performance Learning Center,2,Graduates,Diplomas with College Prep Endorsements,Female,,
2016-17,721,Richmond County,392,Performance Learning Center,2,Graduates,Diplomas with College Prep Endorsements,Total,,
2016-17,721,Richmond County,392,Performance Learning Center,2,Graduates,Diplomas with College Prep Endorsements,Black,,
2016-17,721,Richmond County,392,Performance Learning Center,2,Graduates,Diplomas with College Prep Endorsements,White,,
2016-17,721,Richmond County,392,Performance Learning Center,2,Graduates,Diplomas with College Prep Endorsements,Hispanic,,
2016-17,721,Richmond County,392,Performance Learning Center,2,Graduates,Diplomas with College Prep Endorsements,Asian,,
2016-17,721,Richmond County,392,Performance Learning Center,2,Graduates,Diplomas with College Prep Endorsements,Multi,,
2016-17,721,Richmond County,392,Performance Learning Center,2,Graduates,Diplomas with College Prep Endorsements,Native American/ Alaskan Native,,
2016-17,721,Richmond County,392,Performance Learning Center,3,Graduates,Diplomas with Vocational Endorsements,Male,,
2016-17,721,Richmond County,392,Performance Learning Center,3,Graduates,Diplomas with Vocational Endorsements,Female,,
2016-17,721,Richmond County,392,Performance Learning Center,3,Graduates,Diplomas with Vocational Endorsements,Total,,
2016-17,721,Richmond County,392,Performance Learning Center,3,Graduates,Diplomas with Vocational Endorsements,Black,,
2016-17,721,Richmond County,392,Performance Learning Center,3,Graduates,Diplomas with Vocational Endorsements,White,,
2016-17,721,Richmond County,392,Performance Learning Center,3,Graduates,Diplomas with Vocational Endorsements,Hispanic,,
2016-17,721,Richmond County,392,Performance Learning Center,3,Graduates,Diplomas with Vocational Endorsements,Asian,,
2016-17,721,Richmond County,392,Performance Learning Center,3,Graduates,Diplomas with Vocational Endorsements,Multi,,
2016-17,721,Richmond County,392,Performance Learning Center,3,Graduates,Diplomas with Vocational Endorsements,Native American/ Alaskan Native,,
2016-17,721,Richmond County,392,Performance Learning Center,4,Other Completers,Special Education Diplomas,Male,,
2016-17,721,Richmond County,392,Performance Learning Center,4,Other Completers,Special Education Diplomas,Female,,
2016-17,721,Richmond County,392,Performance Learning Center,4,Other Completers,Special Education Diplomas,Total,,
2016-17,721,Richmond County,392,Performance Learning Center,4,Other Completers,Special Education Diplomas,Black,,
2016-17,721,Richmond County,392,Performance Learning Center,4,Other Completers,Special Education Diplomas,White,,
2016-17,721,Richmond County,392,Performance Learning Center,4,Other Completers,Special Education Diplomas,Hispanic,,
2016-17,721,Richmond County,392,Performance Learning Center,4,Other Completers,Special Education Diplomas,Asian,,
2016-17,721,Richmond County,392,Performance Learning Center,4,Other Completers,Special Education Diplomas,Multi,,
2016-17,721,Richmond County,392,Performance Learning Center,4,Other Completers,Special Education Diplomas,Native American/ Alaskan Native,,
2016-17,721,Richmond County,392,Performance Learning Center,5,Other Completers,Certificates Of Attendance,Male,,
2016-17,721,Richmond County,392,Performance Learning Center,5,Other Completers,Certificates Of Attendance,Female,,
2016-17,721,Richmond County,392,Performance Learning Center,5,Other Completers,Certificates Of Attendance,Total,,
2016-17,721,Richmond County,392,Performance Learning Center,5,Other Completers,Certificates Of Attendance,Black,,
2016-17,721,Richmond County,392,Performance Learning Center,5,Other Completers,Certificates Of Attendance,White,,
2016-17,721,Richmond County,392,Performance Learning Center,5,Other Completers,Certificates Of Attendance,Hispanic,,
2016-17,721,Richmond County,392,Performance Learning Center,5,Other Completers,Certificates Of Attendance,Asian,,
2016-17,721,Richmond County,392,Performance Learning Center,5,Other Completers,Certificates Of Attendance,Multi,,
2016-17,721,Richmond County,392,Performance Learning Center,5,Other Completers,Certificates Of Attendance,Native American/ Alaskan Native,,
2016-17,721,Richmond County,1052,Butler High School,0,Graduates,General Education Diplomas,Male,79,48.5
2016-17,721,Richmond County,1052,Butler High School,0,Graduates,General Education Diplomas,Female,84,51.5
2016-17,721,Richmond County,1052,Butler High School,0,Graduates,General Education Diplomas,Total,163,100
2016-17,721,Richmond County,1052,Butler High School,0,Graduates,General Education Diplomas,Black,142,87.1
2016-17,721,Richmond County,1052,Butler High School,0,Graduates,General Education Diplomas,White,9,5.5
2016-17,721,Richmond County,1052,Butler High School,0,Graduates,General Education Diplomas,Hispanic,4,2.5
2016-17,721,Richmond County,1052,Butler High School,0,Graduates,General Education Diplomas,Asian,2,1.2
2016-17,721,Richmond County,1052,Butler High School,0,Graduates,General Education Diplomas,Multi,6,3.7
2016-17,721,Richmond County,1052,Butler High School,0,Graduates,General Education Diplomas,Native American/ Alaskan Native,0,0
2016-17,721,Richmond County,1052,Butler High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Male,,
2016-17,721,Richmond County,1052,Butler High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Female,,
2016-17,721,Richmond County,1052,Butler High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Total,,
2016-17,721,Richmond County,1052,Butler High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Black,,
2016-17,721,Richmond County,1052,Butler High School,1,Graduates,Diplomas with Both College Prep. & Voc.,White,,
2016-17,721,Richmond County,1052,Butler High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Hispanic,,
2016-17,721,Richmond County,1052,Butler High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Asian,,
2016-17,721,Richmond County,1052,Butler High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Multi,,
2016-17,721,Richmond County,1052,Butler High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Native American/ Alaskan Native,,
2016-17,721,Richmond County,1052,Butler High School,2,Graduates,Diplomas with College Prep Endorsements,Male,,
2016-17,721,Richmond County,1052,Butler High School,2,Graduates,Diplomas with College Prep Endorsements,Female,,
2016-17,721,Richmond County,1052,Butler High School,2,Graduates,Diplomas with College Prep Endorsements,Total,,
2016-17,721,Richmond County,1052,Butler High School,2,Graduates,Diplomas with College Prep Endorsements,Black,,
2016-17,721,Richmond County,1052,Butler High School,2,Graduates,Diplomas with College Prep Endorsements,White,,
2016-17,721,Richmond County,1052,Butler High School,2,Graduates,Diplomas with College Prep Endorsements,Hispanic,,
2016-17,721,Richmond County,1052,Butler High School,2,Graduates,Diplomas with College Prep Endorsements,Asian,,
2016-17,721,Richmond County,1052,Butler High School,2,Graduates,Diplomas with College Prep Endorsements,Multi,,
2016-17,721,Richmond County,1052,Butler High School,2,Graduates,Diplomas with College Prep Endorsements,Native American/ Alaskan Native,,
2016-17,721,Richmond County,1052,Butler High School,3,Graduates,Diplomas with Vocational Endorsements,Male,,
2016-17,721,Richmond County,1052,Butler High School,3,Graduates,Diplomas with Vocational Endorsements,Female,,
2016-17,721,Richmond County,1052,Butler High School,3,Graduates,Diplomas with Vocational Endorsements,Total,,
2016-17,721,Richmond County,1052,Butler High School,3,Graduates,Diplomas with Vocational Endorsements,Black,,
2016-17,721,Richmond County,1052,Butler High School,3,Graduates,Diplomas with Vocational Endorsements,White,,
2016-17,721,Richmond County,1052,Butler High School,3,Graduates,Diplomas with Vocational Endorsements,Hispanic,,
2016-17,721,Richmond County,1052,Butler High School,3,Graduates,Diplomas with Vocational Endorsements,Asian,,
2016-17,721,Richmond County,1052,Butler High School,3,Graduates,Diplomas with Vocational Endorsements,Multi,,
2016-17,721,Richmond County,1052,Butler High School,3,Graduates,Diplomas with Vocational Endorsements,Native American/ Alaskan Native,,
2016-17,721,Richmond County,1052,Butler High School,4,Other Completers,Special Education Diplomas,Male,,
2016-17,721,Richmond County,1052,Butler High School,4,Other Completers,Special Education Diplomas,Female,,
2016-17,721,Richmond County,1052,Butler High School,4,Other Completers,Special Education Diplomas,Total,,
2016-17,721,Richmond County,1052,Butler High School,4,Other Completers,Special Education Diplomas,Black,,
2016-17,721,Richmond County,1052,Butler High School,4,Other Completers,Special Education Diplomas,White,,
2016-17,721,Richmond County,1052,Butler High School,4,Other Completers,Special Education Diplomas,Hispanic,,
2016-17,721,Richmond County,1052,Butler High School,4,Other Completers,Special Education Diplomas,Asian,,
2016-17,721,Richmond County,1052,Butler High School,4,Other Completers,Special Education Diplomas,Multi,,
2016-17,721,Richmond County,1052,Butler High School,4,Other Completers,Special Education Diplomas,Native American/ Alaskan Native,,
2016-17,721,Richmond County,1052,Butler High School,5,Other Completers,Certificates Of Attendance,Male,,
2016-17,721,Richmond County,1052,Butler High School,5,Other Completers,Certificates Of Attendance,Female,,
2016-17,721,Richmond County,1052,Butler High School,5,Other Completers,Certificates Of Attendance,Total,,
2016-17,721,Richmond County,1052,Butler High School,5,Other Completers,Certificates Of Attendance,Black,,
2016-17,721,Richmond County,1052,Butler High School,5,Other Completers,Certificates Of Attendance,White,,
2016-17,721,Richmond County,1052,Butler High School,5,Other Completers,Certificates Of Attendance,Hispanic,,
2016-17,721,Richmond County,1052,Butler High School,5,Other Completers,Certificates Of Attendance,Asian,,
2016-17,721,Richmond County,1052,Butler High School,5,Other Completers,Certificates Of Attendance,Multi,,
2016-17,721,Richmond County,1052,Butler High School,5,Other Completers,Certificates Of Attendance,Native American/ Alaskan Native,,
